Hight,Weight,Shoe size,Gender,Size
180,79,42,M,265
165,65,41,M,260
178,72,42,M,265
160,53,43,M,270
182,78,36,M,230
158,55,38,F,240
165,59,38,F,240
181,60,43,M,270
184,66,43,M,270
180,90,44,M,280
179,90,42,M,265
177,85,43,M,270
178,62,42,F,265
165,120,40,F,250
160,50,38,F,240
185,93,44,M,280
174,74,41,F,260
164,63.7,38,F,240
174,68,44,F,280
181,118,43,M,270
172,55,42,M,265
163,49,38,F,240
168,68,39,F,245
165,80,42,M,265
170,110,41,M,260
174,96,44,M,280
189,87,42,M,265
185,110,42,F,265
195,104,41,F,260
149,61,39,M,245
189,104,42,M,265
147,92,38,M,240
154,111,44,M,280
174,90,40,M,250
169,103,41,M,260
195,81,41,M,260
159,80,39,F,245
192,101,44,F,280
155,51,38,M,240
191,79,41,M,260
153,107,38,F,240
157,110,40,F,250
140,129,39,M,245
144,145,38,M,240
172,139,43,M,270
157,110,44,M,280
153,149,40,F,250
169,97,39,F,245
185,139,44,M,280
172,67,38,F,240
151,64,38,F,240
190,95,42,M,265
187,62,40,M,250
163,159,40,F,250
151,64,39,F,245
190,95,42,M,265
187,62,39,M,245
163,159,40,M,250
179,152,42,M,265
153,121,42,M,265
178,52,40,M,250
195,65,39,F,245
160,131,39,F,245
157,153,40,F,250
189,132,40,F,250
197,114,41,F,260
171,152,41,F,260
185,81,42,F,265
175,120,40,F,250
149,108,39,F,245
157,56,39,M,245
161,118,41,M,260
182,126,42,M,265
185,76,40,M,250
188,122,42,F,265
181,111,41,M,260
161,72,40,M,250
168,135,41,F,260
176,54,39,F,245
163,110,41,M,260
172,105,42,M,265
196,116,44,M,280
187,89,40,M,250
172,92,40,M,250
178,127,42,M,265
164,70,39,F,245
191,54,39,F,245
193,54,40,M,250
190,83,40,M,250
175,135,41,M,260
179,158,41,F,260
172,96,40,F,250
168,59,39,F,245
164,82,38,F,240
194,136,42,F,265
178,117,41,M,260
180,75,42,M,265
185,100,42,F,265
197,154,41,F,260
165,104,40,F,250
168,90,40,F,250
176,122,41,F,260
181,51,41,M,260
164,75,41,M,260
166,140,41,F,260
190,105,42,F,265
186,118,43,M,270
168,123,42,M,265
183,96,40,F,250
